speaker,text
CL207,"So while it was very degen and we tried to like nuke and like move the market on BitMEX and like all these platforms, we did end up getting a very clear sense of like how this market worked"
CL207,So the fund did pretty well overall except in the crash where we actually did short
CL207,But I did not long nor short
CL207,I was just flat
CL207,"The fund didn't do too well, but it did okay in Bitcoin terms"
CL207,"But eventually I left and yeah, just did my own thing"
Taiki Maeda,"So would you say that, you know, you joined in 2018, you're trying to, you know, trade up a small account, uh, couldn't do it, use leverage and then eventually like joined some prof fund, uh, and then learned like the more, how the markets moved"
Taiki Maeda,"And then eventually you said, you know what, like, let's just like, let me do my own thing"
Taiki Maeda,Is that kind of how like your journey is in crypto
CL207,"Yeah, to that point"
Taiki Maeda,What led you to take that leap
Taiki Maeda,"What made you say, you know what, let me do my own thing"
Taiki Maeda,Did you think that the opportunity was worth it
Taiki Maeda,"Because you don't really have a stratified background, right"
Taiki Maeda,"You just join the markets, price go up, price go down, try to figure it out"
Taiki Maeda,What was the process like for you to just go full-time
CL207,"Dude, there was no process"
CL207,"It was just completely, what do you call it"
CL207,"Like, if you come out of school, you have no job, and then you're just trading crypto with a few grand, you're fucked"
CL207,I think I was just more a bit of luck and other people just being bad back then
CL207,"I don't think it took that much to figure stuff out or even just to beat the market, right"
CL207,And I seem like half of the trading going on is just super gambling
CL207,So it wasn't too hard to
CL207,like shine a bit like out of that pool of traders
CL207,"Yeah, I had no logical like decision of like career big picture"
CL207,"Like, yeah, I'm gonna do this"
CL207,This is amazing for my career
CL207,I had no idea
Taiki Maeda,"No, I mean, that's like most people, right"
Taiki Maeda,"I mean, we just kind of have like a gut feel or gut instinct"
Taiki Maeda,"and we say, you know what, like, I feel it in my bones, you know, just fucking go along"
Taiki Maeda,"Do you have like any memorable traits or like, I don't know, like memorable moments that like led you to, I guess, quote unquote, make it"
CL207,"I think, I think it would be pretty surprising to, yeah"
CL207,it's always surprising to many people when I tell them like my biggest single trait P and I was like
CL207,"maybe 2, 300, like, okay, like not more than that"
CL207,"Like, but I have a lot of those and have a lot of like losses in that range, but like less often and that's about, yeah, much less like loss in that"
CL207,Most of my loss are like much smaller
CL207,"So when I did do trade, it was very much just scalp and like"
CL207,"Like intro days, intro weeks, like nothing, like I've never held a position for over a month, I don't think, except Doge, which I fumbled anyways"
Taiki Maeda,What was that Doge trade
CL207,Oh my God
CL207,"So me, Avi Feldman and a few friends, we had this whole thesis in like mid, late 2020"
CL207,"Well, late 2020 as in like right before the Doge pump we gave up, but we were like a significant chunk of like Doge"
CL207,futures market where like the entire open interest is probably just us to be honest because like I know I personally held over 10% of the market on Doge and I also made sure to like long like exotic quarter lease contract where I don't do not have enough bid to get out after I buy right
CL207,but I ended up getting anyways because I was begging like Sam Bankman for you to give me a bit OTC to get out of the quarter lease contract that has zero bid
CL207,after a few months of holding that position
CL207,yeah um our thesis was like yeah
CL207,the best share coin
CL207,it's on Robinhood you know if there's like
CL207,it's just gonna get driven up by normies like who start getting in
CL207,so it played out well just not the trade um when we missed out i don't know we could have i think we collectively missed out on like a few hundred mil
CL207,"Yeah, it's kind of ridiculous because at the top like Doge was trading like 200, 300 billion dollars a day like more than like national volume of entire like Korean won effects or some shit like, like, like if you held had $1 billion of Doge, I still find this fact ridiculous, right"
CL207,You can sell 1 billion of nothing onto the market and no slippage
CL207,That's just insane
Taiki Maeda,Would you say that type of environment is characteristic of near market tops
Taiki Maeda,"I mean, of course, for Bitcoin and ETH, you can trade a billion without minimal slippage, but for altcoins, how do you think about timing market tops, identifying bottom signals and whatnot"
CL207,"Yeah, they tend to go on for a while"
CL207,So it could be a bit deceiving
CL207,"But yeah, if every altcoin has so much liquidity, something's wrong"
CL207,"Because at some point, well, I don't really"
CL207,I can't say for every coming cycle
CL207,Maybe this shit is just the norm in the future
CL207,But partly because this bottom so far we have had
CL207,"Like we consolidate here for a year, right"
CL207,"And then you look at like app, like what I would consider absolute vaporware to have multi-billion market cap"
CL207,"And then that's apparently the Pico capitulation bottom, like what the fuck"
CL207,Like that's our society is insane
CL207,"Like, like, like it's just a collective, what, like collective, uh, like pursuit to buy a lottery tickets and degenerate trading"
CL207,"Like, and that, that somehow just holds the market up"
CL207,"I mean, it kind of makes sense for the world to go in this direction"
CL207,So it kind of makes sense
CL207,And there is way less attractiveness to trading Bitcoin than alt
CL207,"So the top could be probably more ridiculous, right"
Taiki Maeda,"Do you actually see value in cryptocurrencies or do you just more see it as a market to trade with all these altist individuals just gambling and degenerating to try to get out of, you know, to get to the next level of wealth, I guess"
CL207,"There is always, yeah, I mean, there is some value in like, but I think a lot more value in the prior statement about"
CL207,"Just trading, yeah"
CL207,"Clearly, just trading"
CL207,It's just a game
CL207,"I mean, there is a lot of value"
CL207,"I saw last cycle where it's very small, by the way"
CL207,"Where a lot of artists I knew and I've commissioned hundreds, they were very open to being paid in stable coins or Bitcoin or ETH"
CL207,That was very fascinating to me
CL207,just much more convenient than PayPal or Wires
CL207,"That was just way more, just yeah"
CL207,"And unironically, fees on a lot of these are actually cheaper than PayPal"
CL207,So that's been good
CL207,"So I mean, there is definitely value in just an asset being globally traded over like, yo, you gotta sign up and be a creditor investor to invest or trade or"
CL207,"And just fully KYC, which, and then, yeah, many people don't want to do all of that"
CL207,"And then if you're not in the US, your access to a lot of these financial instruments are super restricted, right"
CL207,So there is definitely a lot of value in just having this open participation
CL207,"A lot of what we're gambling on, like 80% or more, like 95% is just like hog garbage"
CL207,"It is what it is, I guess"
Taiki Maeda,Do you think it's important to view crypto as a game
Taiki Maeda,"It seems like you were into video games, you mentioned before that you kind of view this market as a game"
Taiki Maeda,Do you think that helps you separate the emotion and the money component to it
Taiki Maeda,Do you think that's really important to be a successful crypto trader
CL207,"Yeah, let's say people that view it as a game, as not real, definitely have done well, but also"
CL207,a lot of these have like lost at all just because like they don't feel like it's real and I used to be way more like that
CL207,but you know if you go outside and just like even buy anything like like like holy crap this is like a fraction of your slippage that's that's just really absurd right like you got to start de-risking at that point um I feel like
CL207,mentally I've de-risked
CL207,"de-risked since end of 2020, early 2021"
CL207,"But prior to that, a lot of the trading I've done are on way more risk"
Taiki Maeda,How much did you start out with
CL207,A few grand
Taiki Maeda,"And in the last, let's say from 2018 to 2021, you've gone to a state where you're comfortable with life, you're traveling"
Taiki Maeda,Do you think like that few thousand to make it is still possible in crypto
Taiki Maeda,"And if so, if someone like retail is watching this video, like how would you recommend, like what do they need to do in order to make it in the next cycle, let's say"
CL207,"Honestly, I don't know, but something I do realize is like, just like how intense the turnover rate is on Twitter in terms of both just people dying out and like alpha where it's like, I see a lot of people posting very valuable stuff that only have like few thousand followers or like 10,000, like, like relatively small, right"
CL207,And then here I am kind of the contributing nothing
CL207,"But like, maybe like three, four or five years ago, I had a bit more to say about like, you know, Bitcoin and DeFi and like buying like, buying Synthetix and Aave at pretty cheap"
CL207,and then longing here and shooting their own youth
CL207,"Like, but I see a lot of, let's just say"
CL207,It's a very different game in these kind of returns
CL207,You can definitely trade on centralized exchange on leverage
CL207,"I would say it's definitely harder than 2019, 2018, that period"
CL207,But it's still definitely doable
CL207,"I would say the main issues like Binance removing liquidation feeds, you don't see the clear picture of liquidation and open interest is delayed by a minute or something"
CL207,"Every time we pump or nuke really fast, you're basically guessing if you should sell or not, or if you should buy or not, which can be deducted, but it's just less obvious, I guess"
CL207,So it's definitely still tradable
CL207,"off centralized exchanges, there's a lot of shit-coining going on where like, I feel like maybe like 20% win and like majority of people just either run into a rug or just like fumble or like just buy the wrong thing"
CL207,"But that game is also just like very complex where it's like, like sometimes when shit-coin really stands out, go from like zero market cap to like 100 mil and it's always pushed by like"
CL207,a lot of what you call influencers and stuff
CL207,"I mean, it is a game you can play"
CL207,I can't think if the odds are better here compared to trading on leverage on centralized
CL207,There is a lot of this kind of stuff going on where I do see people make a lot of sums
CL207,"I do feel like it's honestly, yeah, like for much lower risk, there's a lot of farming stuff you can do, which luckily there wasn't much in my time because I would have probably, I don't know if I would have done that, but maybe I would have"
CL207,"Yeah, so I wouldn't have made as much, but yeah"
Taiki Maeda,"Yeah, so let's talk about farming"
Taiki Maeda,"I do run a DeFi channel, and recently there was this new farm"
Taiki Maeda,"And you're an investor in BLAST, this new L2 backed by Paradigm"
Taiki Maeda,"Backed by Paradigm, yeah"
Taiki Maeda,"Yes, backed by Paradigm"
Taiki Maeda,"And right now this BLAST contract, it's not a bridge, it's a contract that has almost, let me refresh this, almost half a billion dollars in TVL"
Taiki Maeda,And this is in a few days
Taiki Maeda,It seems like a lot of people are upset by this
Taiki Maeda,I think it's a pretty good marketing move
Taiki Maeda,"I mean, I think the chain itself makes sense as well"
Taiki Maeda,"Do you mind kind of going over this incentives mechanism, the points thesis you have with loyalty points, marketing"
Taiki Maeda,"Do you think this is where crypto goes eventually, where instead of giving out token rewards, you just give out fake points, and that way you attract capital and try to, I guess, build modes that way"
CL207,"Yeah, I don't think it's worth worth for people to farm this anymore unless you do have a lot of capital, right"
CL207,"And it's like, um, like points, just, they just work like, um, you know, there's like a, like every company use it, right"
CL207,"If they have, if they have a high user base or like audience"
CL207,"It's a great, like both marketing, like it's just, it's a great Ponzi and marketing thing to have"
CL207,"And I do think, yeah, probably more projects are doing it"
CL207,"I mean, they are, like you already see it"
CL207,"I don't, yeah, at half a bill, like, I mean, like, I think the TV goes to like more, so it does reach, it's going to reach a point where like most, it's not going to be worth for most of the people to farm it"
CL207,"Like maybe even me, right"
CL207,It probably is not the ideal farm
CL207,"And there's probably better farms out there, which I probably shall not say for my own sake of dilution"
Taiki Maeda,"Got it, got it"
Taiki Maeda,"Yeah, it's crazy"
Taiki Maeda,"I mean, right now, there's a market on AVO, which is like this option slash perpdex, and it's valuing Blast to be 3.6 billion FDB, which is pretty insane, right"
Taiki Maeda,"Like they just spun up this contract, collected half a billion, and now, I mean, albeit like the liquidity profile is like very thin"
Taiki Maeda,There's only like 75k worth of volume
Taiki Maeda,"How do you think, like"
Taiki Maeda,What do you think about these valuation models
Taiki Maeda,What gives L1 and L2's value
Taiki Maeda,"I mean, what gives any token value"
Taiki Maeda,Have you ever thought about that
Taiki Maeda,Is there an answer
Taiki Maeda,"Crypto moves so weird, right"
Taiki Maeda,How do you value these things
Taiki Maeda,How do you think about valuations
CL207,You just move them based on how many people even know about it and how many people give a shit and pay attention to it
CL207,That's pretty much it
CL207,And then something I learned from behavior psych is
CL207,"We always need to have a reason for something, apparently"
CL207,"So every decision we make, there's either a more fact concrete reason, or there is a more social reason"
CL207,"So the fact reason would be like, hey, we are"
CL207,"ABC capital, we took your investor money and we bought Apple shares"
CL207,"And here's our reason, like they make a reason for why they bought Apple shares, right"
CL207,"And then they're like, oh, the revenue is this, their gross projections that like, it's amazing"
CL207,"Like the earning to whatever price, you know, ratio is great"
CL207,We're gonna hold this position
CL207,"And then like, that kind of is like a cult, actually"
CL207,"Like yeah, there is real money"
CL207,"Like at some point it's like too cheap, but like obviously like, like if it's trading at like 1500, like it's, it's, it's pretty much like a game, right"
CL207,"So it's like, even if it goes underwater, I feel like a lot of these funds are like kind of just become a call"
CL207,"They're like, Oh no, we still believe in this"
CL207,"We still, it's like, it's like their Bible, right"
CL207,"It's like, Oh no, we believe in it"
CL207,And then the P is good trust
CL207,"And that's like, they just keep holding it"
CL207,"I was like, yo, what the fuck"
CL207,"Like, and it's kind of the same in here is like"
CL207,"And the more social part of reasoning would be like, hey, you have an iPhone"
CL207,The tech is amazing
CL207,"We got this feature, that feature"
CL207,iPhones are the best
CL207,It's just amazing
CL207,"And then it's like, if you actually look through what they do with their phones, they actually never use 90% of the quote unquote tech they just mentioned"
CL207,"And then it's like, OK, are you really buying this for the tech"
CL207,say something because that's socially acceptable to own an iPhone and socially acceptable to say why an iPhone is superior
CL207,so it's like that's the two main reasoning we give ourselves for our intentions um
CL207,and it's very much the same it's like here where it's like the people make up some whatever metric and be like yo this is why this is valued at this and why it's like gonna go up or down and
CL207,"Or like, yo, GCR bot, so it's now fashionable for me to own a position"
CL207,"Or it's like, oh, Kobe's into, yeah"
CL207,I'm in the trend
CL207,This is the new Balenciaga of the coin to hold for this week
CL207,So it's very similar in that
CL207,"And especially if you're in a Discord group and everyone apes a shitcoin, you kind of know"
CL207,You're probably about to ape that thing
CL207,"Overall, it's just how many people know about it and how many people really care about it"
CL207,"In a sense, that gives valuation to these tokens"
CL207,"And attention is really important now because you could, quote unquote, have amazing tech"
CL207,"If no one talks about it, no one even heard about it, how are they going to buy this coin"
CL207,"we've reached a point of where, in my opinion, social media is kind of like the fundamentals"
CL207,Or like we're getting more and more to that point
CL207,"And then it's like, some people may be like, yo, some protocols actually make money, yo"
CL207,What do you mean
CL207,"And then it's like, yeah, well, if no one talks about us about this on social media, then it never made money"
CL207,Because people won't hear about it and they're not going to buy it
CL207,"But everyone shows like, oh, this protocol makes money"
CL207,"Even if it's not a lot, it's going to the tokens probably going to go up"
CL207,"So, yeah, it's very much just getting to a point of just hyper"
CL207,Influencer like social media ish market
CL207,"Yeah, I would say"
CL207,"Yeah, and I think the GME was actually just like the start of like all of this for triad file like I think like even like common stocks like in"
CL207,"Yeah, maybe not the major stocks, but the mid caps and small caps are definitely going to be moved by a lot of retail in the future too"
Taiki Maeda,"Yeah, it's like if a tree falls in the middle of the forest and no one's there to hear it, did it really make a noise"
Taiki Maeda,"If a vertical has good fundamentals but no one knows about it, no one's showing it, is it actually good"
Taiki Maeda,"I guess it's kind of like trading attention, like where attention flows"
Taiki Maeda,"And I got this audience question, ask him about this flows-based approach to markets"
Taiki Maeda,And Jez tweeted about this as well
Taiki Maeda,How would you characterize your trading style
Taiki Maeda,"Like, do you think that, hey, if I expect attention to flow to this coin, it makes sense to front run those flows because more people will talk about it"
Taiki Maeda,You're trading attention
Taiki Maeda,Is that kind of how you would characterize your trading approach
CL207,"Honestly, no, I'm pretty horrible at that actually, which is why I don't dabble so much in the altcoin market"
CL207,"Yeah, I actually mostly just do like big caps and the flows they talk about or I've mentioned that is actually more just like, you know, like if Coinbase is buying on spot and perps are longing on perps, like dude, it's just gonna go up, right"
CL207,So that's the kind of flows I trade
CL207,And I'm a very aggressive trader who does not care about entry with no distinct stop loss
CL207,"But some kind of momentum way to stop loss or time way to stop loss, more so than price one"
CL207,"If spot and purpose are both buying the last hour, I'm just going to buy it"
CL207,"Yeah, I'm buying the top"
CL207,the next hop
CL207,right like so like i'm very aggressive and stuff like that and like if they stop buying then sure you know i'm very i'm very likely looking to like just close out no matter where the price is if it's higher or same or lower
CL207,so that's i guess just like trading momentum honestly but
CL207,"You also do factor in some stuff like, hey, you know, we've, everyone's been buying and longing for like three weeks"
CL207,"You know, if momentum breaks here, it's going to be huge"
CL207,"So then I might jam in on like a reverse, like, you know, no one's bought in like six, like six hours and the open interest and leverages and funding rates are jacking"
CL207,"You know, I'm going to jam on the first, uh, like sell, sell momentum, right"
CL207,"So there's, there's a lot of game to like, like that"
CL207,In terms of flows and then you're kind of just praying the people who've been buying like take some profits or like panic sell or whatever
CL207,"Hey, so that's a lot of the flows I trade"
CL207,And I think jazz is a much better narrative trader than me
CL207,"And most people, honestly, like"
CL207,"I'm the type to think about, oh, Doge could be the next narrative, and then just not even have any exposure"
CL207,"I'm probably not a great altcoin trader, except for DeFi, I guess"
CL207,"That was just very obvious, maybe because the groups I hang out with are more on the funds sides and the retail side"
CL207,Maybe it's more obvious if you talk to 100 non-institutional traders every day
CL207,"I mean, that's a lot of alpha, right"
CL207,"They might start talking about X coin and all of them like, yeah"
CL207,I don't have exposure
CL207,"And then you're like, fuck it"
CL207,I'm just going to long it
CL207,"Like, I don't know what they do honestly"
CL207,"But when I was like, like people whose funds are talking about DeFi, they're like, yo, we can't deploy because there's no liquidity"
CL207,"I'm like, that's so bullish"
CL207,"So, so that's the more like"
CL207,"the stuff I hear about, so I may know a bit more of"
CL207,I do remember the Synthetix Aave trade
CL207,"I was buying Synthetix at like sub $1 and then like every $5,000 USDC buy I made on chain, it was moving the price 2%"
CL207,"And then I was like, wait, I can't even, you know, pack a $50K back then"
CL207,I'm going to move the price up 20%
CL207,"That's ridiculous, right"
CL207,"So you're really, like, really trying to not stop the price too hard"
CL207,Yeah so that was like a very different trading
CL207,and I don't even put too much into like these trades because like I just had no idea if
CL207,"it really does play out or not, although I kind of feel like it almost was definitely what was going to play out"
Taiki Maeda,"You mentioned the DeFi trade, I'm assuming in 2020 was obvious, right"
Taiki Maeda,What made it obvious aside from the fact that maybe at the time your size was in size and you were front running the institutional bid
Taiki Maeda,What did you see in DeFi at the time that made you think that
Taiki Maeda,"Like, wow, this is so obvious"
Taiki Maeda,"I have to buy SNX, Aave, et cetera"
CL207,"It was like pretty much the only thing that was new and shiny and like the only thing people talked about and it's like, it's just ridiculous, right"
CL207,"Like, hey, hey, there's a new smart contract"
CL207,"You put money in, you get some yield here and then you get the token"
CL207,"Now you get the token, you dump it, your yield is now this amount, which is like, let's say like 300%"
CL207,"People thought it was a scam and like they all just kept talking about it and it was just a very strong momentum and attention, right"
CL207,And then it's like
CL207,"oh, now there's some funds deploying some capital"
CL207,We have a big fund
CL207,"Let's slam a mill into this farm, get some risk-free return, unless you get robbed, which I assume some of these funds had a dude who actually can read some code and be like, hey, this seems to be safe or not"
CL207,So a lot of funds started farming DeFi later on
CL207,And that was one of the main things a lot of funds did in 2021
CL207,"But yeah, in 2020, they were just getting started"
CL207,"And yeah, it was pretty much the only new thing where you can leverage on-chain, borrow money on-chain, and then just do this and that, some funny mechanisms where people have never been able"
CL207,do before or they could but there was just like no size at all
CL207,I actually remember I deposited one ETH into Dharma in 2019
CL207,and then I was getting 4% yield
CL207,and I was like you know this is like
CL207,so cool like I can see like this ETH going into the pool and then like actually back then it was like individual pools so if you want to borrow ETH you have to like either find
CL207,someone who's like willing to lend out the same amount or something
CL207,it was it was badly designed I think
CL207,but I can see the exact address I borrowed my ETH
CL207,and I was like yo that's fascinating like I know he has to pay back because like he's gonna get liquidated for a way more amount of USDC if he does not pay back right
CL207,so and that USDC goes back to paying me buying like one ETH and sending it back to me
CL207,so I knew it was safe unless like
CL207,"We really just abruptly sent 100% in one minute with no liquidity to cover, which was not really possible"
CL207,"But yeah, something really insane has to happen for it to work"
Taiki Maeda,"It sounds like in 2019, you were experimenting with things"
Taiki Maeda,"With DeFi, you kind of knew how it worked"
Taiki Maeda,"And then in 2020, more dev devs start to build"
Taiki Maeda,"You start to see actual functioning apps, be it Comp, Aave, et cetera"
Taiki Maeda,"Talking about the present, do you think something has to be new in Chinese for it to pump"
Taiki Maeda,"For example, DeFi seems like a more mature market now"
Taiki Maeda,Do you think there are investment opportunities in DeFi
Taiki Maeda,If you were starting a new account and you're trying to run it up
Taiki Maeda,What sectors do you think has the most amount of opportunity
CL207,"Oh, there's so many sectors now and honestly, I don't really know like half of them to be honest cuz like I guess like if you tell me about games and AI and like Like I just have no idea like Like I feel like games they make some revenue from like, I don't know selling skins or some shit"
CL207,and then it's like
CL207,"Are people buying and then like, I guess you can project something, but AI is just like such a new world to me"
CL207,"Like, I don't know anything about AI, so I'm just not going to talk about it, but some people may actually know something about it"
CL207,"and then they can be like, okay, cool"
CL207,"Uh, this, this, like, I don't know, right"
CL207,"Like they can make some stuff up about, or they may see something like people don't"
CL207,"And then if you believe in that, like AI"
CL207,narrative to have and then sure
CL207,"And then now we have RWAs, which I also don't know about because it's like, I do like the real world"
CL207,Are you serious
CL207,"Like, I thought we were trading, I thought we were trading like magical internet money"
CL207,"Like, what is this real world stuff"
CL207,"Like, that's crazy"
CL207,"yeah, I mean"
CL207,But like I am kind of foolish on it because just like the overall fact that you can just earn yield like yield is like everything yield related to yield and just giving out free money is just foolish right because it's like it's just it's just a meme people have always accepted and like like about like just earning over time
CL207,yeah anything with yield is just it's just good in my opinion it's a good thesis
CL207,"Someone could see something there and be like, okay, this is clearly undervalued"
CL207,I don't want to name or talk too much about specific projects
CL207,"Honestly, I don't even know how safe they are"
CL207,"If you know, then you know"
Taiki Maeda,"Yeah, I think DJ and Spartan tweeted this"
Taiki Maeda,"It's like the passive income meme is much more attractive than like hodl, wagme, you know, like that cavale"
Taiki Maeda,"And that's one of the reasons he liked Stake the Ether, real world assets also"
Taiki Maeda,"It's like the yield scales, right"
Taiki Maeda,"Like most DeFi farms, the more TVL goes in, the yield dilutes"
Taiki Maeda,"Like for example, blast"
Taiki Maeda,"But if it's like treasuries or other types of debt, it's like, well, yeah, like billions can enter and the yields still the same"
Taiki Maeda,Do you think like art of A's can be like a sector
Taiki Maeda,people are underestimating
Taiki Maeda,"Like, do you think crypto natives inherently don't like RDAs because it's like, oh, real world, like I love my magic internet money"
Taiki Maeda,"Do you think it's like a sector that people are, like people think that they're overlooking"
CL207,I don't think they're overlooking because like we already have a lot of people talking about it
CL207,"And then it's like, well, like I honestly do not know like what's the exact mechanism people are bringing like, oh, whatever yield from whatever government is like to on-chain"
CL207,"Like there is few forms, the people are also just buying like, oh, like, yeah, hey, our protocol owns like a thousand houses here"
CL207,We're renting them out and this is your passive income
CL207,"And it's like, yeah, what"
CL207,"Like, like, like, like, like out of no clue how legal that is, or like just how ruggable that is, like how safe it is"
CL207,"If you know it's safe and you think it's undervalued, I think then that can be a good play"
CL207,"Also, I feel like part of the meme is not really about us, but a lot of new buyers are going to be a mix of just our generation and then the older generation, which probably prefer something that sounds like something they already know, which is like RWA would be something they kind of know, right"
CL207,I feel like that's also why we've always got a persistent bid
CL207,"It's just like, Hey, we partner with banks"
CL207,"It's complete like scam, but like that sounds so legit, right"
CL207,"So it's like, it's a great Ponzi"
CL207,"Like they just keep saying, yeah, we're, yeah, this bank, yeah, international wire, bro"
CL207,"Like, and it's like, they just get a perm a bit"
CL207,"And it's like, that's, that's just crazy"
Taiki Maeda,"I used to play poker and I was in these poker discords and there's like this one guy was so adamant that like XRP wasn't hit $1,000 and nothing could shake his confidence on that"
Taiki Maeda,And they're like people that
Taiki Maeda,I have no idea
CL207,How many years has it been
CL207,Does he still think it's going to a thousand
Taiki Maeda,"Yeah, for sure"
Taiki Maeda,What the fuck
Taiki Maeda,"Yeah, I mean, I guess it's partly crypto YouTube and whatnot, right"
Taiki Maeda,"You mentioned earlier the crypto markets are more and more influenced, I guess by influencers, because people's source of truth are whatever"
Taiki Maeda,people see on the internet
Taiki Maeda,Do you think that's healthy for the markets or do you think it's a natural evolution of this eternally online society that it seems like the younger generation is becoming a part of
CL207,"Yeah, I think it is"
CL207,"And I think at some point it is going to be really, really bad to get to a point where it's just so bad that we try to find another system that helps it get better again, which is why I was so"
CL207,just into some kind of rep system
CL207,"Even AI is getting really good, right"
CL207,"So it's like, yo, if we can't even distinguish a celebrity between, are they even real"
CL207,"We can't even tell, right"
CL207,"Because it's like, especially in this industry, it's completely acceptable at this point that you're just some character"
CL207,"So if there's some weird cartoon character animal that's screaming out tickers and they just keep pumping, if they're an AI"
