speaker,text
CL207,"And otherwise, yeah, I just do my thing"
CL207,"I guess just like low information, more, just more chart and more, uh, like, like, I don't know the momentum trend, like right"
CL207,"Definitely, I don't take notes either, I guess"
CL207,You can do whatever you want
CL207,Everyone's a bit different
CL207,I don't think there's one way to win
CL207,It's probably any other money-making thing
CL207,There's definitely a lot of ways
CL207,"Everyone's different, yeah"
Andreas,"Yeah, that definitely makes sense"
Andreas,"Yeah, I wanted to move on and talk a bit about some other topics for first one I have written down is friend tech"
Andreas,"I remember like this is a while ago, but you and I had differing views on the the outlook of friend tech you were like pretty bullish at the time"
Andreas,and I thought it was I was I wouldn't say I was bearish
Andreas,but like I didn't really see the upside especially like if
Andreas,"Like to me, when I look at projects in crypto, like I look at like the proprietary aspect and then like the community aspect"
Andreas,"And it just seemed like at the time, like first there wasn't like much proprietary, like it didn't seem like a platform that that couldn't have been cloned like very easily"
Andreas,"And then like, if you look at the activity"
Andreas,All on it
Andreas,"It seemed like it was almost like a like an echo chamber of people just like, you know, buying each other's keys, communicating with each other and stuff like that with like a few like big thought leaders"
Andreas,And then it I feel like these things and crypto like I've seen in the past where
Andreas,"You know, like you have this promise payoff of like you like the points or the whatever you're getting paid off and then you have sort of like the thought leaders like profiting on the followers and then the whole thing falls apart"
Andreas,"So at the time, what was your like, what was your thesis or what was your outlook on Frentech and has it changed today"
CL207,"Yeah, I think it's pretty obvious it's changed"
CL207,"a while ago, but I think initially I think I was much more excited about signaling via key purchases and sales"
CL207,Although I was never treated anything like
CL207,so I fantasize about a lot of things I think and
CL207,I think I wished it was something like
CL207,"Okay, we tell each other who we like and don't like via buying and selling keys"
CL207,and how that could signal to like people who aren't as in the strict
CL207,and I don't know that this entire like CT cabal like who's a better actor who's like a not as good of an actor
CL207,Although the main problem with friend tech was it actually had no true negative signaling
CL207,"And negative signaling had to be done in an anonymous way in my opinion, just because otherwise it's just extremely like aggressive, right"
CL207,And I don't think people are like open enough to do that
CL207,"I think generally that kind of stuff people tend to be a bit shy even if like, I don't know"
CL207,"you're like an MMA fighter, you're not going to go online and be like, I hate this guy, literally like click this button"
CL207,"So I think that was one issue I didn't realize very early on, which was like lack of negative signaling and how there was only positive signaling"
CL207,And then that kind of turned into more of a Ponzi real quick
CL207,"Um, I guess after like two, three months, I realized like, okay, this, this is actually not as cool as I thought"
CL207,"Or like, I was just like, um, like I was fantasized"
CL207,"I was like, like having this fantasy of the, the same being something else, which is like totally not, um, right"
CL207,"So I, yeah"
CL207,"I think I, I didn't like mention about like price or like"
CL207,Like the airdrop going into like the token event then didn't tell anyone to buy it
CL207,I just like averaged out real quick and like one day People are like you're retarded
CL207,"And I'm like, okay, whatever"
CL207,there's not much you can do so besides like the the negative signaling is there anything else like in retrospect that you would like change about the platform to make it more on a
Andreas,more useful or have a better outlook in your eyes
CL207,I mean like just claiming the airdrop was like every the entire community was like having aids from like trying to even like get it to work so I think that's pretty bad because like UI is like very critically important because like I think not maybe not enough people or brands or just like projects think about this but like
CL207,Your experience with something is very critical
CL207,"So if you have a negative experience or that's a negative emotion about this thing, then you are literally more likely to not want the thing, which is the token, whatever it has to do with it"
CL207,"But if you have positive emotions about something, you're more likely to buy the thing"
CL207,It's like how marketing 101 is
CL207,So it's like the fact that the app lacks so hard
CL207,"was definitely a problem, I think, in my opinion"
CL207,"And then although they try to fix it, it was always kind of a thing, right"
CL207,Especially when we all try to use it
CL207,And I think otherwise it's a completely okay platform
CL207,I don't think he ever meant it for it to be reputational
CL207,And I think I just fantasized about it being that because
CL207,"us buying and selling keys were a public display of liking, right"
CL207,But I think Racer really wanted it to be kind of like a fan community thing
CL207,"Like, oh, you think Hasaka's a go, you think I'm the go, you think Ko... Not me, sorry"
CL207,provided any value
CL207,"Like if you thought Kobe was a go, you know, you buy like two of their keys and then ask them some nice questions, they will reply"
CL207,So that's like real value
CL207,"And there's definitely a market for that, but like definitely not like whatever billion, five billion, 10 billion, I was like mentally jacking off about, right"
Andreas,"Yeah, it makes sense"
Andreas,"I think I think the real bull case is what you described, because the whole social aspect of crypto is, you know, it's there every day like crypto Twitter is just like nonstop 24 seven"
Andreas,"But then like it's difficult to filter, you know, the actual people who you should be following versus the ones that like have real following"
Andreas,"So the key system of like, you see people you respect and what keys they own, it's sort of like a signal that gives validation to people, especially like the smaller accounts, because I think in crypto Twitter, there are quite a few smaller accounts that aren't as well known, but are extremely sharp and put out extremely good content"
Andreas,"And then there's just like tons and tons of accounts that have like hundreds of thousands of followers, millions of followers that are just like"
Andreas,"complete garbage, either paid shills or just spewing nonsense or very low level information"
Andreas,But if you don't really know what you're looking for or what you're looking at or how to interpret information
Andreas,Like especially if you're new to crypto like this is like your first or second cycle
Andreas,It's sort of difficult to to read through the content on crypto Twitter and determine like who's bullshit and who's not full of shit unless you and friend tech sort of has a system
Andreas,"Like if I'm trusted or people know that I'm like a sharp trader or I'm good at like, you know, certain things within the space and I'm buying keys of these people that are like less known, it gives validation to them and then they buy keys of other people and then it's just sort of like an inherent trust and validation system that makes a lot more sense than just like the net followers and that following on Twitter"
Jamo,On Frontek with the pricing it had
Jamo,"It seemed to me like that made it a bit difficult because if I'm Jamo's fan, so I buy the key, I'm one of the first key holders, and I ask him questions, he answers"
Jamo,That's working for me
Jamo,"But for fan number 1000, has to buy the 1000 key"
Jamo,"It becomes so expensive that there's, don't you get this natural cap on your audience"
CL207,"but I guess if you have a thousand fans, that's"
CL207,"he is that expensive, kind of, I guess"
CL207,"It's hard to justify all of this, I guess, but I think the model was mostly okay, at least I thought so, especially if you are not in a for-profit, right"
CL207,"Because once you buy the, I don't know, there was some certain level of price, it takes exponentially more buying for you to even be able to get outbreak even"
CL207,I think that that part was good in that it prevented speculation or like way too much of that
CL207,"But it was also obviously very like extractive on because people did try to like, you know fuck around They found out really hard way like, you know, all the fees were just like"
CL207,Did you guys sell your own keys did you dump on your on your fence
CL207,"No, I still have like"
CL207,"I don't know, 50 F or like 30, at least, yeah, probably around 50-ish F in the thing"
CL207,"Yeah, I did try to play it"
CL207,"I bought a bunch of smaller accounts and I bought multiple keys, stuff like that for the smaller accounts"
CL207,"I actually self-sniped seven keys, 70 keys because, yeah, because people were gonna snipe it and then like"
CL207,"Yeah, I didn't sell that because that just like looks really bad"
CL207,And so you don't need a couple of E's
CL207,"So it's like, it's okay to just like put it there"
Andreas,"Well, one thing I really like about the front end system is that everything is pretty transparent"
Andreas,"So I mean, you can see like who's like, for example, I know there are a bunch of people that had a large following that promised to share, you know, like the airdrop with their, with their key holders and then see like, which one of them is actually shared, which one of them are just like dumping, which one of them are doing what"
Andreas,"Because normally on Twitter, if you have a large account showing a low cap cryptocurrency, you don't know their entry, if they're dumping on you, when they're accumulating, stuff like that"
Andreas,"But specifically with these friend tech accounts, everything is pretty transparent"
Andreas,"So you can see who's telling the truth, who's lying, who's full of shit, and stuff like that"
CL207,"Uh, there was definitely, uh, a couple, uh, notable accounts that promise to share that airdrop and, uh"
CL207,I will not go further on this topic
Jamo,"You can, you can check it"
Jamo,"You can check it on the Explorer, right"
CL207,"Check, check the chain"
CL207,"I don't know, man"
Andreas,Let's move on a bit
Andreas,"Um, the next thing I had on the list was, uh"
Andreas,"I want to talk a little bit of blast because I believe you're an investor there and I feel like this is a more broad discussion, not necessarily pretending to blast, but about like the"
Andreas,either like layer to our protocol points meta in general um so like for the listeners or watchers who don't know blast was in ethereum l2 which had like a pretty prominent points program like even before the the trend existed like i want to say like two to three billion dollars were locked in the multi-sig with promising points and then only recently
Andreas,"I think within the last few weeks, the blast token was released"
Andreas,Do you have any thoughts on this current meta
Andreas,"in lieu of yield farming or like specifically allocating like certain percentages you're getting from yield through like fees or through a native token, you're just like given these speculative points and then like you're sort of speculating on their value at the end of the point cycle"
Andreas,Do you think this is like a good thing and if it will continue in the future
CL207,"Yeah, I think"
CL207,"Actually, before we talk about this, can we also talk about life"
CL207,"Because I actually want to know you better, because I don't know anything about you actually"
CL207,"We can go after this, but yeah, for point systems, I guess, I mean, they obviously work, right"
CL207,"Like it's, it's not like a Starbucks and every, like, I don't know if like chase, like any airline are doing points because it doesn't work"
CL207,Like it clearly works
CL207,And it's like
CL207,"Yeah, it just works"
CL207,It's very simple
CL207,We all like want to get points for whatever reason
CL207,"It's like crazy, but that's how our brain works"
CL207,And I guess
CL207,"yeah, Tation was pretty early on to that, like the blur, right"
CL207,"I've always thought of him as like one of the greatest, greatest like Ponzi builders in the space"
CL207,And on top of that
CL207,It tend to come to something like slightly new
CL207,So it's like pretty good
CL207,"Um, and like, I just had to invest because he, like, you know, he, he literally stole open sea from open sea"
CL207,So it was like a no brainer at the time
CL207,"Cause there was, it wasn't much other deals"
Andreas,"Um, and you were, you were mainly investing in like the, the person rather than the, like the general idea you just believed in him"
CL207,A bit of both
CL207,"I thought, I mean, like, why not"
CL207,"Why not have all the funds there, like, earn some yield"
CL207,"It makes everyone more money, right"
CL207,"It's like, it goes, it's way more 3-3 than like every other"
CL207,"Parking your funds anywhere else, right"
CL207,So I thought it was like decent enough of a idea to go for
Andreas,"Yeah, that definitely makes sense"
Andreas,So what are the topics of life you wanted to talk about
Andreas,"I think outside of crypto, one of the interests I have is investing in real estate just because... I thought you were going to say cooking"
Andreas,But I think investing in real estate is really interesting to me because it's an asset that you can use as opposed to crypto
Andreas,You can never really use any of your
Andreas,"It's mostly just if I'm trading or something or if I'm holding spot and then the number goes up, I'm still staring at the same computer screen and the number is just bigger"
Andreas,But my life
Andreas,overall like doesn't really change
Andreas,And then it did to me
Andreas,it's just like a pretty reasonable hedge on everything just like in the doomsday you know like scenario where
Andreas,All crypto goes to zero or if I get like hacked
Andreas,"or you know, like I lose my private keys or you know, like if suddenly like Binance and like Bybit and wherever else I'm trading go and solve it"
Andreas,and I lose all those funds I still have something that like so some tangible assets
Andreas,"Other than that, I don't know"
Andreas,Stuff like that just interests me just because I feel like I have a much different view on money and assets than a lot of people
Andreas,Making more money doesn't necessarily make me want to go out and just ball out and be popping bottles at the club or spending all this money on whatever
Andreas,I always thought about the general utility of money and how I utilize my funds to be as useful as possible to what I want in life and what I'm looking for
Andreas,I think real estate is one of the
Andreas,the bigger things that I've become interested in
Andreas,"My thesis on real estate, especially high-end real estate, is that one of the limiting factors in the world is the availability of the underlying land or the locations that are high value"
Andreas,You can always build more
Andreas,"real estate and undeveloped areas, but like the there's just like certain like areas like, you know, like really nice beachfront property or like a really nice like mountain property and like, like the high end like ski areas and stuff like that, that are limited not by like a little limited by land itself, like, rather than like the costs and the development and anything like that"
Andreas,"like the general thesis is like, I valued that like a lot more"
Andreas,"And I also see these markets, I want to say not necessarily a recession proof, but they that they trade at like a different frequency than like the rest of the market"
Andreas,"So like, for example, if there's like a housing crisis, or if you know, like, there's some sort of like, global macro event, like the"
Andreas,The lower end real estate may may follow suit and like trade relative to that
Andreas,"But I feel like that there's always there's always going to be like, even if we go in like global recession or something like that, there's always going to be like"
Andreas,"elite wealthy people in the world and as an asset, these assets are always going to be limited based on availability so that they'll maintain their value through whatever happens in the future"
Andreas,I think that's generally my thesis when looking at this stuff
Andreas,"And a lot of the times, a lot of the stuff seems overvalued, but then you look at historical prices and they just go straight up and it's kind of crazy"
Andreas,"But the thing I equated to is like owning like a like a major sports team like like a European football team or like an American like basketball team, something like that, is that, like, the valuations have gone like I know you guys probably don't follow this, but the valuations has gone up to from like"
Andreas,"I want to say like a couple hundred million, like in the 2000s to like three, four or five billion"
Andreas,And it's not because like they're more valuable or because they're generating more money
Andreas,They are generating a little bit more money
Andreas,But the main thing is just like they almost represent like a status symbol for
Andreas,like elite wealthy people so that they're willing to pay like a huge huge premium anytime one of these teams goes on market
Andreas,Is it like owning some
Jamo,"I think it's like only some old extremely expensive piece of art, like some Picasso thing"
Andreas,"I think it's like a bit different than that because like, for example, like in the U.S"
Andreas,"teams like the New York Yankees or the Los Angeles Lakers, they have certain valuations, but they'll never sell for those valuations just because the owners will never sell basically"
Andreas,If you're like a
Andreas,"a multi-multi-billionaire, the value of having like 10 or 20 billion dollars more, like selling your team at a huge premium, isn't as valuable as, you know, just like, for example, owning the Los Angeles Lakers, so like when any celebrity or any, you know, any of your network is in LA, you can just take them and this is your team, you know, stuff like that"
Andreas,"That, like, intangible value"
Andreas,is I feel like quite a lot more valuable than the actual monetary aspect
Andreas,"Yeah, go ahead"
Jamo,"And then if you're going to impress your friends, right"
Jamo,Then that scales with how much money you have
Jamo,"So for somebody whose net worth is much higher, the value of being able to take somebody to your Yankee stadium is much, much more higher"
Jamo,So for somebody with a lower net worth to buy it becomes unreasonable
Andreas,Do you have any purchases you've made from your time in crypto where you started with a few thousand dollars and you ran it up to quite a bit
Andreas,"Or any aspirations for the end game, basically, if you have a really good year in trading or if you're doing really well, what you would do with the funds"
CL207,"That's such a hard question, but I don't think I've had too much gigatrillionaire dreams or what I'm going to do with it"
CL207,"Yeah, no clue"
CL207,"Honestly, I'm just going to do the same thing because it's pretty nice so far and I'm very content with my current"
CL207,"Although not extremely, definitely not hyper wealth at all"
CL207,"Yeah, pretty happy with that"
CL207,"I mean, like, you have to put it in my hands for me to like, start thinking about it"
Andreas,Do you ever get this thought that's like
Andreas,Your life doesn't necessarily change that much if you continue to do really well
Andreas,The marginal utility of the future money that you're going to make doesn't really change what you want to do in life or your day-to-day routine
Andreas,Those are some thoughts that
Andreas,I have quite a bit
Andreas,I think there's quite a bit of opportunity cost for just working all the time versus going out and doing whatever you want
Andreas,"Obviously, if I work all the time, I can make more money, I can have more success, I can be better at what I do"
Andreas,"If I'm at a point where I have the bankroll, I have the funds to live my life the way I want it, and even if I double or triple that, I'm still going to be just shitposting on Twitter or sitting around on my computer"
Andreas,It's not like I have aspirations to be shitposting on a private jet or something
Andreas,That doesn't really add value to what I'm doing
CL207,"Right, so I guess one thing would be like what I've seen of hyperwealth, you know, yeah, continue to live in hotels"
CL207,"But actually, I'm not sure"
CL207,"But like, I guess I want a private chef"
CL207,"So when I wake up, there's like food"
CL207,"I want like extremely, extremely, extremely healthy food, because I am like"
CL207,It's very into being healthy
CL207,I've not had a full glass of sugar beverage for nine years
CL207,I don't even eat birthday cakes at all
CL207,"Actually, I've made two exceptions this year or one exception here and there, but you can count them in one hand"
CL207,That's how little sugar I consume
CL207,"And like, I always have broccoli, like either broccoli or berries almost every day"
CL207,"That's just my vitamin C fiber, like antioxidant intake"
CL207,"You know, I just make extremely healthy"
CL207,"And then like after, and I always eat that first because when you eat that, like, and then you have like your favorite fruits, like say I'll have a pasta, it's a little bit of carbs, not too crazy"
CL207,"But then, but because you ate the fiber first, you actually digest that way slower"
CL207,And then like your glucose spike is like way softer
CL207,Just stuff like that
CL207,I hear a lot about my appearance
